trip_id,organization_name,is_operator
121120000308895848,Nobina Sverige AB,1
121120000308895896,Nobina Sverige AB,1
121120000308895944,Nobina Sverige AB,1
121120000308885461,Nobina Sverige AB,1
121120000308885509,Nobina Sverige AB,1
121120000308885656,Nobina Sverige AB,1
121120000308885803,Nobina Sverige AB,1
121120000308885950,Nobina Sverige AB,1
121120000308886048,Nobina Sverige AB,1
121120000308886195,Nobina Sverige AB,1
121120000308886293,Nobina Sverige AB,1
121120000308886391,Nobina Sverige AB,1
121120000308887077,Nobina Sverige AB,1
121120000308887126,Nobina Sverige AB,1
121120000308887417,Nobina Sverige AB,1
121120000308887515,Nobina Sverige AB,1
121120000308887564,Nobina Sverige AB,1
121120000308887710,Nobina Sverige AB,1
121120000308887890,Nobina Sverige AB,1
121120000308887954,Nobina Sverige AB,1
121120000308888007,Nobina Sverige AB,1
121120000308888064,Nobina Sverige AB,1
121120000308893859,Nobina Sverige AB,1
121120000308893955,Nobina Sverige AB,1
121120000308894051,Nobina Sverige AB,1
121120000308894147,Nobina Sverige AB,1
121120000308894195,Nobina Sverige AB,1
121120000308894435,Nobina Sverige AB,1
121120000308894819,Nobina Sverige AB,1
121120000308895203,Nobina Sverige AB,1
121120000308895560,Nobina Sverige AB,1
121120000308895704,Nobina Sverige AB,1
121120000308895752,Nobina Sverige AB,1
121120000308896184,Nobina Sverige AB,1
121120000308888083,Nobina Sverige AB,1
121120000308888140,Nobina Sverige AB,1
121120000308888344,Nobina Sverige AB,1
121120000308888442,Nobina Sverige AB,1
121120000308888540,Nobina Sverige AB,1
121120000308888736,Nobina Sverige AB,1
121120000308888822,Nobina Sverige AB,1
121120000308888982,Nobina Sverige AB,1
121120000308889080,Nobina Sverige AB,1
121120000308889615,Nobina Sverige AB,1
121120000308889762,Nobina Sverige AB,1
121120000308889860,Nobina Sverige AB,1
121120000308890007,Nobina Sverige AB,1
121120000308890203,Nobina Sverige AB,1
121120000308890252,Nobina Sverige AB,1
121120000308890644,Nobina Sverige AB,1
121120000308890693,Nobina Sverige AB,1
121120000308890810,Nobina Sverige AB,1
121120000308890829,Nobina Sverige AB,1
121120000308890848,Nobina Sverige AB,1
121120000308890867,Nobina Sverige AB,1
121120000308891000,Nobina Sverige AB,1
121120000308891038,Nobina Sverige AB,1
121120000308891075,Nobina Sverige AB,1
121120000308891112,Nobina Sverige AB,1
121120000308891371,Nobina Sverige AB,1
121120000308891689,Nobina Sverige AB,1
121120000308891834,Nobina Sverige AB,1
121120000308892615,Nobina Sverige AB,1
121120000308892713,Nobina Sverige AB,1
121120000308892911,Nobina Sverige AB,1
121120000308893075,Nobina Sverige AB,1
121120000308893173,Nobina Sverige AB,1
121120000308893320,Nobina Sverige AB,1
121120000308893369,Nobina Sverige AB,1
121120000308893565,Nobina Sverige AB,1
121120000308894243,Nobina Sverige AB,1
121120000308894483,Nobina Sverige AB,1
121120000308894867,Nobina Sverige AB,1
121120000308894963,Nobina Sverige AB,1
121120000308895011,Nobina Sverige AB,1
121120000308895107,Nobina Sverige AB,1
121120000308895155,Nobina Sverige AB,1
121120000308895251,Nobina Sverige AB,1
121120000308895512,Nobina Sverige AB,1
121120000308895800,Nobina Sverige AB,1
121120000308896040,Nobina Sverige AB,1
121120000308896136,Nobina Sverige AB,1
121120000308896282,Nobina Sverige AB,1
121120000308896379,Nobina Sverige AB,1
121120000308896667,Nobina Sverige AB,1
121120000308897363,Nobina Sverige AB,1
121120000308897479,Nobina Sverige AB,1
121120000308897595,Nobina Sverige AB,1
121120000308898213,Nobina Sverige AB,1
121120000308898387,Nobina Sverige AB,1
121120000308898445,Nobina Sverige AB,1
121120000308898561,Nobina Sverige AB,1
121120000308899141,Nobina Sverige AB,1
121120000308899199,Nobina Sverige AB,1
121120000308899315,Nobina Sverige AB,1
121120000308899363,Nobina Sverige AB,1
121120000308899412,Nobina Sverige AB,1
121120000308899589,Nobina Sverige AB,1
121120000308899648,Nobina Sverige AB,1
121120000308900364,Nobina Sverige AB,1
121120000308900580,Nobina Sverige AB,1
121120000308901074,Nobina Sverige AB,1
121120000308901138,Nobina Sverige AB,1
121120000308901253,Nobina Sverige AB,1
121120000308901351,Nobina Sverige AB,1
121120000308901400,Nobina Sverige AB,1
121120000308901498,Nobina Sverige AB,1
121120000308901596,Nobina Sverige AB,1
121120000308901645,Nobina Sverige AB,1
121120000308901790,Nobina Sverige AB,1
121120000308901838,Nobina Sverige AB,1
121120000308902204,Nobina Sverige AB,1
121120000308902262,Nobina Sverige AB,1
121120000308902553,Nobina Sverige AB,1
121120000308902670,Nobina Sverige AB,1
121120000308903138,Nobina Sverige AB,1
121120000308903490,Nobina Sverige AB,1
121120000308903674,Nobina Sverige AB,1
121120000308903906,Nobina Sverige AB,1
121120000308904141,Nobina Sverige AB,1
121120000308904554,Nobina Sverige AB,1
