from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022012080860005,9022012080860005,1,,121120000308890924,121120000310726316
9022012080860005,9022012080860005,1,,121120000308893467,121120000310625669
9022012080860005,9022012080860005,1,,121120000308893614,121120000310625775
9022012080860005,9022012080860005,1,,121120000308894387,121120000310622839
9022012080860005,9022012080860005,1,,121120000308888121,121120000310623526
9022012080860005,9022012080860005,1,,121120000308888197,121120000310623646
9022012080860005,9022012080860005,1,,121120000308888045,121120000310623406
9022012080860005,9022012080860005,1,,121120000308888159,121120000310623586
9022012080860005,9022012080860005,1,,121120000308893026,121120000310625351
9022012080860005,9022012080860005,1,,121120000308894099,121120000310622627
9022012080860005,9022012080860005,1,,121120000308894531,121120000310622945
9022012080860005,9022012080860005,1,,121120000308894675,121120000310623051
9022012080860005,9022012080860005,1,,121120000308895608,121120000310625351
9022012080860005,9022012080860005,1,,121120000308895896,121120000310625563
9022012080860005,9022012080860005,1,,121120000308885461,121120000310726117
9022012080860005,9022012080860005,1,,121120000308888007,121120000310623346
9022012080860005,9022012080860005,1,,121120000308893955,121120000310622521
9022012080860005,9022012080860005,1,,121120000308895752,121120000310625457
9022012080860005,9022012080860005,1,,121120000308896184,121120000310625775
9022012080860005,9022012080860005,1,,121120000308888083,121120000310623466
9022012080860005,9022012080860005,1,,121120000308890810,121120000310726280
9022012080860005,9022012080860005,1,,121120000308891038,121120000310726343
9022012080860005,9022012080860005,1,,121120000308893173,121120000310625457
9022012080860005,9022012080860005,1,,121120000308893320,121120000310625563
9022012080860005,9022012080860005,1,,121120000308894243,121120000310622733
9022012080860005,9022012080860005,1,,121120000308895512,121120000310624246
9022012080860005,9022012080860005,1,,121120000308896040,121120000310625669
9022012080110009,9022012080110009,1,,121120000311218481,121120000311218908
9022012080110009,9022012080110009,1,,121120000311218542,121120000311218969
9022012080110009,9022012080110009,1,,121120000311218603,121120000311219030
9022012080110009,9022012080110009,1,,121120000311219152,121120000311216044
9022012080110009,9022012080110009,1,,121120000311219335,121120000311216348
9022012080110009,9022012080110009,1,,121120000311219578,121120000311220127
9022012080110009,9022012080110009,1,,121120000311219700,121120000311220249
9022012080110009,9022012080110009,1,,121120000311219761,121120000311220310
9022012080110009,9022012080110009,1,,121120000311219944,121120000311220493
9022012080110009,9022012080110009,1,,121120000311220188,121120000311226044
9022012080110009,9022012080110009,1,,121120000311220615,121120000311226471
9022012080110009,9022012080110009,1,,121120000311221900,121120000311222020
9022012080110009,9022012080110009,1,,121120000311221960,121120000311222080
9022012080110009,9022012080110009,1,,121120000311222140,121120000311222260
9022012080110009,9022012080110009,1,,121120000311222320,121120000311223592
9022012080110009,9022012080110009,1,,121120000311224252,121120000311224432
9022012080110009,9022012080110009,1,,121120000311224372,121120000311224552
9022012080110009,9022012080110009,1,,121120000311224912,121120000311225092
9022012080110009,9022012080110009,1,,121120000311225152,121120000311225272
